growth_rate,Conductance,Time_s,Temperature ( in C ),Catalyst Layer Thickness ( in nm ),Run_ID,Status_of_Exp,,,,,
4.5,0.000224044,370,625,2,1,Success,,,,,
4.565,0.000222032,372,625,2,1,Success,,,,,
4.389,0.000221241,374,625,2,1,Success,,,,,
4.102,0.000220044,376,625,2,1,Success,,,,,
4.073,0.00021923,378,625,2,1,Success,,,,,
4.407,0.000223077,380,625,2,1,Success,,,,,
4.57,0.000225454,382,625,2,1,Success,,,,,
4.543,0.000226735,384,625,2,1,Success,,,,,
4.302,0.000224989,386,625,2,1,Success,,,,,
3.987,0.000223419,388,625,2,1,Success,,,,,
4.198,0.000220813,390,625,2,1,Success,,,,,
4.46,0.000221035,392,625,2,1,Success,,,,,
5.177,0.000222182,394,625,2,1,Success,,,,,
4.795,0.000221722,396,625,2,1,Success,,,,,
4.412,0.000221726,398,625,2,1,Success,,,,,
4.569,0.000216842,400,625,2,1,Success,,,,,
4.441,0.000215468,402,625,2,1,Success,,,,,
4.147,0.000215183,404,625,2,1,Success,,,,,
4.047,0.000214462,406,625,2,1,Success,,,,,
4.351,0.000214461,408,625,2,1,Success,,,,,
4.574,0.00021477,410,625,2,1,Success,,,,,
4.577,0.0002147,412,625,2,1,Success,,,,,
4.271,0.000214229,414,625,2,1,Success,,,,,
3.998,0.000215642,416,625,2,1,Success,,,,,
4.179,0.000215327,418,625,2,1,Success,,,,,
4.552,0.000212844,420,625,2,1,Success,,,,,
4.586,0.00021396,422,625,2,1,Success,,,,,
4.377,0.000216089,424,625,2,1,Success,,,,,
4.785,0.000218703,426,625,2,1,Success,,,,,
5.221,0.000220184,428,625,2,1,Success,,,,,
4.499,0.000219583,430,625,2,1,Success,,,,,
4.068,0.000218673,432,625,2,1,Success,,,,,
4.029,0.000219979,434,625,2,1,Success,,,,,
4.395,0.000217246,436,625,2,1,Success,,,,,
4.581,0.000217244,438,625,2,1,Success,,,,,
4.535,0.000216913,440,625,2,1,Success,,,,,
4.203,0.00021697,442,625,2,1,Success,,,,,
4.051,0.000216828,444,625,2,1,Success,,,,,
4.278,0.000216921,446,625,2,1,Success,,,,,
4.535,0.000217273,448,625,2,1,Success,,,,,
4.561,0.000217644,450,625,2,1,Success,,,,,
4.228,0.000216453,452,625,2,1,Success,,,,,
4.058,0.000216574,454,625,2,1,Success,,,,,
4.238,0.000217596,456,625,2,1,Success,,,,,
4.518,0.000219025,458,625,2,1,Success,,,,,
5.174,0.000219413,460,625,2,1,Success,,,,,
4.757,0.000219382,462,625,2,1,Success,,,,,
4.517,0.000218297,464,625,2,1,Success,,,,,
4.625,0.000219655,466,625,2,1,Success,,,,,
4.425,0.000218474,468,625,2,1,Success,,,,,
4.045,0.000219997,470,625,2,1,Success,,,,,
4,0.000217911,472,625,2,1,Success,,,,,
4.372,0.000218164,474,625,2,1,Success,,,,,
4.653,0.000219213,476,625,2,1,Success,,,,,
4.536,0.000218612,478,625,2,1,Success,,,,,
4.114,0.000218953,480,625,2,1,Success,,,,,
4.047,0.000218877,482,625,2,1,Success,,,,,
4.341,0.000219929,484,625,2,1,Success,,,,,
4.562,0.000219701,486,625,2,1,Success,,,,,
4.54,0.000219286,488,625,2,1,Success,,,,,
4.29,0.000221503,490,625,2,1,Success,,,,,
4.869,0.000220198,492,625,2,1,Success,,,,,
5.244,0.000220433,494,625,2,1,Success,,,,,
4.368,0.000220657,496,625,2,1,Success,,,,,
4.08,0.000219482,498,625,2,1,Success,,,,,
4.109,0.000219371,500,625,2,1,Success,,,,,
4.491,0.000220173,502,625,2,1,Success,,,,,
4.61,0.000221093,504,625,2,1,Success,,,,,
4.522,0.000220045,506,625,2,1,Success,,,,,
4.082,0.000221253,508,625,2,1,Success,,,,,
4.001,0.000219637,510,625,2,1,Success,,,,,
4.332,0.000220025,512,625,2,1,Success,,,,,
4.58,0.000220729,514,625,2,1,Success,,,,,
4.59,0.000218692,516,625,2,1,Success,,,,,
4.259,0.000218469,518,625,2,1,Success,,,,,
4.03,0.000217763,520,625,2,1,Success,,,,,
4.16,0.000218041,522,625,2,1,Success,,,,,
5.265,0.000219579,524,625,2,1,Success,,,,,
4.942,0.000219622,526,625,2,1,Success,,,,,
4.13,0.000219563,528,625,2,1,Success,,,,,
4.509,0.000218656,530,625,2,1,Success,,,,,
4.654,0.000219656,532,625,2,1,Success,,,,,
4.442,0.000218359,534,625,2,1,Success,,,,,
4.018,0.00021894,536,625,2,1,Success,,,,,
4.046,0.000219636,538,625,2,1,Success,,,,,
4.444,0.00022067,540,625,2,1,Success,,,,,
4.652,0.000220721,542,625,2,1,Success,,,,,
4.485,0.000220407,544,625,2,1,Success,,,,,
4.08,0.000220318,546,625,2,1,Success,,,,,
4.026,0.000220995,548,625,2,1,Success,,,,,
4.341,0.000222991,550,625,2,1,Success,,,,,
4.624,0.000222787,552,625,2,1,Success,,,,,
4.597,0.000221356,554,625,2,1,Success,,,,,
4.13,0.000221001,556,625,2,1,Success,,,,,
4.804,0.000221814,558,625,2,1,Success,,,,,
5.327,0.000222193,560,625,2,1,Success,,,,,
4.338,0.000224412,562,625,2,1,Success,,,,,
4.04,0.000221809,564,625,2,1,Success,,,,,
4.205,0.000221008,566,625,2,1,Success,,,,,
4.497,0.000221247,568,625,2,1,Success,,,,,
4.562,0.000222342,570,625,2,1,Success,,,,,
4.423,0.000220963,572,625,2,1,Success,,,,,
4.171,0.000222416,574,625,2,1,Success,,,,,
4.079,0.000222435,576,625,2,1,Success,,,,,
4.509,0.000220575,578,625,2,1,Success,,,,,
4.583,0.000220675,580,625,2,1,Success,,,,,
4.425,0.000220619,582,625,2,1,Success,,,,,
4.042,0.000221239,584,625,2,1,Success,,,,,
4.128,0.000221272,586,625,2,1,Success,,,,,
4.484,0.000221822,588,625,2,1,Success,,,,,
5.343,0.00022221,590,625,2,1,Success,,,,,
4.749,0.000223597,592,625,2,1,Success,,,,,
4.368,0.000221988,594,625,2,1,Success,,,,,
4.653,0.000221609,596,625,2,1,Success,,,,,
4.615,0.000221716,598,625,2,1,Success,,,,,
4.254,0.000220939,600,625,2,1,Success,,,,,
3.965,0.000220663,602,625,2,1,Success,,,,,
4.288,0.000221515,604,625,2,1,Success,,,,,
4.637,0.000221068,606,625,2,1,Success,,,,,
4.666,0.00022166,608,625,2,1,Success,,,,,
4.354,0.000221102,610,625,2,1,Success,,,,,
3.887,0.000220923,612,625,2,1,Success,,,,,
3.912,0.000220966,614,625,2,1,Success,,,,,
4.478,0.000220697,616,625,2,1,Success,,,,,
4.691,0.000221082,618,625,2,1,Success,,,,,
4.583,0.000221578,620,625,2,1,Success,,,,,
4.182,0.000221001,622,625,2,1,Success,,,,,
4.846,0.000220996,624,625,2,1,Success,,,,,
5.366,0.000221033,626,625,2,1,Success,,,,,
4.415,0.000220641,628,625,2,1,Success,,,,,
4.069,0.000221748,630,625,2,1,Success,,,,,
3.984,0.000221393,632,625,2,1,Success,,,,,
4.471,0.000222076,634,625,2,1,Success,,,,,
4.655,0.000221828,636,625,2,1,Success,,,,,
4.559,0.000220478,638,625,2,1,Success,,,,,
4.08,0.000220882,640,625,2,1,Success,,,,,
3.976,0.00022025,642,625,2,1,Success,,,,,
4.157,0.000220632,644,625,2,1,Success,,,,,
4.654,0.000220877,646,625,2,1,Success,,,,,
4.708,0.000221704,648,625,2,1,Success,,,,,
